Date,Amount
16/1/2024,76100
17/1/2024,88600
18/1/2024,191650
19/1/2024,0
20/1/2024,110900
21/1/2024,124100
22/1/2024,49000
23/1/2024,98000
24/1/2024,69800
25/1/2024,130900
26/1/2024,0
27/1/2024,98000
28/1/2024,74000
29/1/2024,84000
30/1/2024,51700
31/1/2024,105500
1/2/2024,151400
2/2/2024,0
3/2/2024,67950
4/2/2024,45600
5/2/2024,118150
6/2/2024,111200
7/2/2024,157300
8/2/2024,265800
9/2/2024,0
10/2/2024,252700
11/2/2024,183900
12/2/2024,286100
13/2/2024,289000
14/2/2024,58600
15/2/2024,82500
16/2/2024,0
17/2/2024,107650
18/2/2024,69950
19/2/2024,114850
20/2/2024,84950
21/2/2024,204050
22/2/2024,42350
23/2/2024,0
24/2/2024,204950
25/2/2024,196700
26/2/2024,128200
27/2/2024,136600
28/2/2024,102700
29/2/2024,248150
1/3/2024,0
2/3/2024,151000
3/3/2024,327000
4/3/2024,412700
5/3/2024,245200
6/3/2024,248800
7/3/2024,153000
8/3/2024,0
9/3/2024,320350
10/3/2024,313600
11/3/2024,266400
12/3/2024,163700
13/3/2024,215600
14/3/2024,147700
15/3/2024,0
16/3/2024,177100
17/3/2024,157000
18/3/2024,130300
19/3/2024,102900
20/3/2024,218150
21/3/2024,188500
22/3/2024,10400
23/3/2024,86700
24/3/2024,55400
25/3/2024,109750
26/3/2024,41600
27/3/2024,128050
28/3/2024,169600
29/3/2024,73300
30/3/2024,149700
31/3/2024,249000
1/4/2024,150800
2/4/2024,132400
3/4/2024,287300
4/4/2024,228750
5/4/2024,176650
6/4/2024,277500
7/4/2024,319100
8/4/2024,327900
9/4/2024,507500
10/4/2024,268600
11/4/2024,73500
12/4/2024,0
13/4/2024,208800
14/4/2024,0
15/4/2024,258650
16/4/2024,216170
17/4/2024,235800
18/4/2024,233000
19/4/2024,0
20/4/2024,209900
21/4/2024,234900
22/4/2024,290400
23/4/2024,271800
24/4/2024,336100
25/4/2024,320400
26/4/2024,0
27/4/2024,582650
28/4/2024,367700
29/4/2024,451000
30/4/2024,496000
1/4/2022,0
2/4/2022,239400
3/4/2022,274140
4/4/2022,177000
5/4/2022,106000
6/4/2022,77650
7/4/2022,89400
8/4/2022,45600
9/4/2022,218250
10/4/2022,79450
11/4/2022,220900
12/4/2022,180100
13/4/2022,360300
14/4/2022,58750
